GPA,Credits_Completed,Exam_Scores,Attendance_Percentage,Coding_Skills,Communication_Skills,Leadership_Skills,Clubs_Joined,Events_Participated,Internship_Completed,Internship_Duration_Months,Library_Visits_Per_Week,Online_Course_Hours_Per_Week,Employment_Competitiveness
2.75,125,99,93.02,9,9,3,2,1,1,3,1,1,High
3.9,40,80,77.11,5,8,1,2,8,1,0,9,6,Medium
3.46,83,82,84.48,8,2,3,1,1,0,6,2,0,High
3.2,46,96,73.47,7,9,1,0,4,1,5,2,11,High
2.31,74,67,71.98,9,2,9,1,2,0,7,1,4,Medium
2.31,48,88,72.31,7,7,3,4,9,0,10,9,8,High
2.12,44,65,70.55,4,5,8,1,8,0,4,2,11,High
3.73,89,65,76.93,4,7,6,0,8,1,7,8,10,Low
3.2,82,96,62.52,8,5,3,1,6,1,9,10,11,Low
3.42,149,87,94.55,6,6,9,1,9,0,10,14,2,Medium
2.04,35,90,66.65,9,8,8,1,4,0,7,10,11,Medium
3.94,119,56,57.38,7,1,3,3,8,0,8,10,0,Low
3.66,49,63,54.83,7,1,7,3,6,0,0,2,5,High
2.42,64,92,50.67,4,5,5,1,1,0,2,4,10,Low
2.36,38,97,71.14,3,1,2,0,9,1,11,11,1,Low
2.37,53,74,59.38,8,3,8,0,0,1,11,14,7,High
2.61,81,81,51.08,7,9,1,0,9,1,10,6,10,High
3.05,137,87,76.0,4,7,4,0,9,1,5,0,11,High
2.86,119,71,84.0,4,6,4,2,3,0,3,13,18,Medium
2.58,41,65,54.29,1,8,5,1,9,0,7,0,19,Low
3.22,130,78,73.05,7,8,4,1,7,1,9,14,8,Medium
2.28,92,65,87.18,1,6,1,2,5,0,0,9,10,Low
2.58,57,61,99.29,4,4,7,0,1,0,11,12,17,Medium
2.73,89,66,83.36,3,4,2,4,4,0,4,1,8,High
2.91,135,86,62.24,3,4,3,4,8,1,3,0,14,Medium
3.57,98,76,85.83,1,6,5,2,5,1,11,0,17,High
2.4,28,74,79.9,4,1,8,4,5,1,0,13,7,Medium
3.03,51,62,60.59,1,2,8,3,6,1,9,13,3,High
3.18,151,57,92.56,8,6,2,1,4,1,5,9,12,Medium
2.09,69,54,71.37,1,1,9,4,2,1,9,3,14,High
3.22,101,61,98.1,6,9,6,3,2,0,2,9,7,Medium
2.34,24,90,86.15,7,6,9,1,4,1,10,11,15,High
2.13,106,52,82.23,2,7,4,3,3,0,10,11,10,Medium
3.9,145,84,86.42,4,1,3,1,4,1,4,2,12,Medium
3.93,94,82,73.9,3,8,5,1,8,1,5,0,6,Medium
3.62,41,71,75.26,9,5,5,4,4,0,3,2,17,High
2.61,87,99,92.56,7,5,4,2,3,1,9,0,7,Low
2.2,63,93,84.05,2,6,7,4,3,0,9,2,1,Medium
3.37,53,58,94.86,6,7,8,0,0,1,11,3,2,High
2.88,96,90,94.54,9,7,5,3,9,0,5,10,9,High
2.24,61,67,98.82,3,5,9,0,3,1,6,12,6,Low
2.99,156,99,85.01,6,1,7,1,3,0,1,10,6,High
2.07,125,78,75.12,3,9,7,4,8,1,6,13,3,Medium
3.82,114,88,58.32,3,6,8,0,3,0,6,13,7,Medium
2.52,154,76,85.27,4,9,4,0,6,1,1,7,18,Low
3.33,87,85,64.58,9,4,6,0,0,1,2,2,11,Medium
2.62,147,94,64.15,8,2,5,1,6,1,2,2,9,Low
3.04,104,66,61.91,1,3,1,1,1,1,0,12,13,Medium
3.09,102,83,93.76,1,4,9,1,7,1,0,8,11,Medium
2.37,114,95,93.4,7,8,2,0,0,1,9,10,19,High
3.94,51,52,81.55,3,3,6,3,9,0,10,8,3,Low
3.55,85,54,73.65,7,8,8,4,2,0,5,5,18,Medium
3.88,135,63,83.61,9,6,3,4,7,0,8,9,6,High
3.79,157,52,80.36,3,4,5,1,9,0,8,3,0,High
3.2,149,72,70.79,3,7,7,0,7,0,10,9,7,Low
3.84,79,88,68.98,2,5,4,3,4,0,0,4,10,Low
2.18,36,79,69.14,1,5,5,2,4,1,11,12,0,High
2.39,115,99,79.46,9,9,1,1,7,1,6,8,0,High
2.09,35,94,82.38,6,3,4,2,9,1,5,0,3,Low
2.65,65,72,72.59,6,4,7,4,4,0,3,6,3,Low
2.78,126,76,98.43,8,5,7,4,8,1,10,14,10,Low
2.54,107,59,54.19,5,1,4,3,0,0,2,10,0,Medium
3.66,148,74,67.35,9,7,6,3,4,0,8,6,9,High
2.71,158,62,70.95,5,8,5,2,2,0,9,9,3,Medium
2.56,138,65,50.85,2,6,1,4,2,1,4,0,6,High
3.09,104,90,68.25,6,9,8,3,1,1,7,13,1,Medium
2.28,23,83,63.69,9,3,7,3,2,0,3,0,12,High
3.6,90,86,75.3,3,2,5,4,6,1,3,14,18,Medium
2.15,130,71,66.82,4,5,7,4,7,1,5,13,3,High
3.97,69,66,86.31,8,9,3,0,7,0,5,8,5,Low
3.54,159,72,75.5,6,1,8,3,7,1,2,6,16,High
2.4,114,85,56.49,7,1,5,2,0,1,1,3,8,Medium
2.01,111,98,87.5,7,3,2,1,6,0,10,8,1,High
3.63,84,58,54.96,4,3,2,1,1,0,8,11,19,Low
3.41,66,51,91.95,6,5,4,4,9,1,1,4,5,Low
3.46,125,81,96.57,9,4,7,2,3,1,8,2,17,Low
3.54,149,99,66.12,3,6,4,0,4,1,11,1,14,High
2.15,125,71,96.31,8,8,9,3,0,0,10,8,15,Low
2.72,43,92,89.65,7,8,2,0,3,0,7,3,0,Medium
2.23,23,62,96.12,4,4,6,2,3,0,10,6,9,High
3.73,127,57,83.31,3,1,4,0,8,1,9,0,9,High
3.25,38,50,61.78,7,7,6,4,8,1,6,8,5,Medium
2.66,59,66,94.73,9,6,9,1,9,0,11,11,3,Low
2.13,69,61,59.21,3,5,9,4,0,0,4,8,13,High
2.62,94,53,60.65,9,4,9,3,7,0,2,9,16,High
2.65,31,62,63.55,8,6,9,4,3,1,1,5,2,Low
3.46,46,80,65.21,3,8,3,2,3,1,10,5,1,Low
3.28,132,90,75.72,8,6,9,2,4,1,7,13,17,High
3.77,68,56,85.67,4,3,3,3,1,1,1,14,16,Medium
2.94,149,72,96.31,6,9,3,3,0,0,7,5,12,Low
2.24,79,73,54.42,2,3,5,1,4,1,4,4,18,High
3.43,49,54,97.72,8,4,6,0,6,1,8,10,9,Medium
3.52,103,54,96.07,9,5,9,1,9,0,3,0,3,Low
3.12,47,66,52.7,7,2,1,4,8,0,7,3,16,High
3.54,44,79,68.02,8,2,8,0,1,0,10,9,15,Low
2.99,115,58,90.66,7,6,4,3,7,1,6,0,18,Low
3.05,144,55,80.58,4,2,7,2,6,0,11,4,13,High
2.86,29,74,88.95,1,1,6,4,1,1,7,12,19,High
2.05,61,68,85.95,3,8,6,1,4,0,4,3,14,High
2.22,59,65,74.84,7,1,7,3,6,1,1,7,18,Medium
2.06,96,70,52.06,7,6,4,0,2,1,6,0,2,Medium
3.27,124,51,79.21,3,1,6,0,1,0,2,7,19,Low
